Wavenumber,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38,Unknown39,Unknown40,Unknown41,Unknown42,Unknown43,Unknown44,Unknown45,Unknown46,Unknown47,Unknown48,Unknown49,Unknown50,Unknown51,Unknown52,Unknown53,Unknown54,Unknown55,Unknown56,Unknown57,Unknown58,Unknown59,Unknown60,Unknown61,Unknown62,Unknown63,Unknown64,Unknown65,Unknown66,Unknown67,Unknown68,Unknown69,Unknown70,Unknown71,Unknown72,Unknown73,Unknown74,Unknown75,Unknown76,Unknown77,Unknown78,Unknown79,Unknown80,Unknown81,Unknown82,Unknown83,Unknown84,Unknown85,Unknown86,Unknown87,Unknown88,Unknown89,Unknown90,Unknown91,Unknown92,Unknown93,Unknown94,Unknown95,Unknown96,Unknown97,Unknown98,Unknown99,Unknown100,Unknown101,Unknown102,Unknown103,Unknown104,Unknown105,Unknown106,Unknown107,Unknown108,Unknown109,Unknown110,Unknown111,Unknown112,Unknown113,Unknown114,Unknown115,Unknown116,Unknown117,Unknown118,Unknown119,Unknown120,Unknown121,Unknown122,Unknown123,Unknown124,Unknown125,Unknown126,Unknown127,Unknown128,Unknown129,Unknown130,Unknown131,Unknown132,Unknown133,Unknown134,Unknown135,Unknown136,Unknown137,Unknown138,Unknown139,Unknown140,Unknown141,Unknown142,Unknown143,Unknown144,Unknown145,Unknown146,Unknown147,Unknown148,Unknown149,Unknown150,Unknown151,Unknown152,Unknown153,Unknown154,Unknown155,Unknown156,Unknown157,Unknown158,Unknown159,Unknown160,Unknown161,Unknown162,Unknown163,Unknown164,Unknown165,Unknown166,Unknown167,Unknown168,Unknown169,Unknown170,Unknown171,Unknown172,Unknown173,Unknown174,Unknown175,Unknown176,Unknown177,Unknown178,Unknown179,Unknown180,Unknown181,Unknown182,Unknown183,Unknown184,Unknown185,Unknown186,Unknown187,Unknown188,Unknown189,Unknown190,Unknown191,Unknown192,Unknown193,Unknown194,Unknown195,Unknown196,Unknown197,Unknown198,Unknown199,Unknown200,Unknown201,Unknown202,Unknown203,Unknown204,Unknown205,Unknown206,Unknown207,Unknown208,Unknown209,Unknown210,Unknown211,Unknown212,Unknown213,Unknown214,Unknown215,Unknown216,Unknown217,Unknown218,Unknown219,Unknown220,Unknown221,Unknown222,Unknown223,Unknown224,Unknown225,Unknown226,Unknown227,Unknown228,Unknown229,Unknown230,Unknown231,Unknown232,Unknown233,Unknown234,Unknown235,Unknown236,Unknown237,Unknown238,Unknown239,Unknown240,Unknown241,Unknown242,Unknown243,Unknown244,Unknown245,Unknown246,Unknown247,Unknown248,Unknown249,Unknown250,Unknown251,Unknown252,Unknown253,Unknown254,Unknown255,Unknown256,Unknown257,Unknown258,Unknown259,Unknown260,Unknown261,Unknown262,Unknown263,Unknown264,Unknown265,Unknown266,Unknown267,Unknown268,Unknown269,Unknown270,Unknown271,Unknown272,Unknown273,Unknown274,Unknown275,Unknown276,Unknown277,Unknown278,Unknown279,Unknown280,Unknown281,Unknown282,Unknown283,Unknown284,Unknown285,Unknown286,Unknown287,Unknown288,Unknown289,Unknown290,Unknown291,Unknown292,Unknown293,Unknown294
542.245,456.0,454.6,454.8,478.8,472.6,465.6,476.2,474.8,469.6,473.2,469.0,469.8,467.0,463.6,462.4,476.6,478.0,462.0,460.4,493.2,495.4,498.8,475.6,473.2,466.2,462.6,470.0,467.2,463.4,459.6,480.4,479.2,485.6,474.4,476.4,478.4,502.8,504.6,487.6,475.4,477.0,491.0,490.4,489.2,515.0,512.6,477.2,468.6,494.8,490.6,506.4,504.0,512.6,506.4,484.4,484.2,487.4,477.0,497.8,487.8,574.6,504.4,494.4,503.2,499.6,516.6,501.0,494.8,760.4,627.0,802.8,681.2,1149.4,835.6,708.0,970.0,780.8,796.6,721.2,947.4,1230.0,666.8,621.0,580.4,586.2,615.2,595.6,580.4,570.2,553.6,550.8,704.4,645.4,627.2,709.8,648.6,641.4,648.2,530.0,519.2,536.4,566.2,532.0,514.2,535.4,519.6,502.8,485.0,476.6,496.0,491.4,480.6,484.8,517.0,501.6,492.2,490.0,477.4,505.2,492.6,490.4,476.4,474.2,488.8,483.4,505.6,503.0,504.0,498.2,503.8,493.8,506.6,497.0,486.2,477.8,494.8,491.8,478.2,473.4,478.2,474.6,476.0,472.2,477.8,479.0,463.4,465.4,475.8,479.6,477.4,476.0,477.4,473.4,474.4,484.0,488.4,488.4,492.2,502.4,471.8,477.2,478.2,481.8,471.6,466.4,475.0,481.6,489.2,492.8,484.8,494.6,484.8,475.8,462.6,564.6,519.8,500.0,492.0,532.4,483.8,487.6,483.8,477.4,478.6,505.4,495.6,494.2,487.0,475.2,488.2,485.0,512.8,533.6,649.4,483.2,483.8,485.8,484.8,482.6,479.0,524.2,511.0,493.6,476.8,494.0,483.4,490.0,493.6,491.0,494.2,500.0,530.4,488.2,487.8,491.4,532.4,501.0,495.6,486.2,524.0,515.0,519.6,517.6,479.6,482.8,494.0,490.2,507.0,496.2,493.4,530.143,510.857,518.0,491.429,519.429,575.0,563.714,554.714,700.0,657.4,618.2,622.8,680.0,549.8,552.2,510.6,631.6,587.8,639.5,682.8,663.8,562.2,638.6,636.25,532.0,530.4,529.8,534.6,597.333,556.4,595.2,515.8,489.4,490.2,484.2,507.8,493.2,484.6,489.6,495.8,485.8,497.0,532.8,550.8,560.6,600.0,546.6,488.4,484.0,479.6,489.6,488.6,493.4,505.8,509.6,552.0,511.4,504.8,502.8,479.6,477.8,486.6,487.0
542.328,458.2,454.0,452.2,474.2,472.2,464.0,474.6,476.8,468.6,466.2,468.0,472.8,469.2,465.2,464.6,480.6,477.8,458.0,459.0,489.4,495.4,491.4,478.6,473.6,460.8,461.0,467.0,467.6,462.4,457.6,486.2,479.8,485.2,474.0,480.6,482.2,501.4,504.2,487.2,478.2,480.4,491.6,490.0,493.4,519.2,517.8,477.2,470.2,497.4,490.6,503.2,509.6,507.8,505.0,484.0,488.8,481.0,476.8,497.2,485.4,572.0,494.8,498.8,500.0,499.4,512.0,503.0,490.6,751.4,623.6,810.0,679.8,1132.4,833.2,706.0,957.0,785.6,785.8,722.2,943.8,1220.5,666.2,620.0,575.6,582.4,613.4,590.4,574.0,564.8,557.2,554.8,707.6,646.6,635.0,698.2,639.6,640.2,642.6,523.2,521.6,539.8,562.8,528.8,513.2,535.8,520.8,503.8,491.2,478.0,496.0,493.2,479.0,483.8,513.8,494.0,492.6,491.2,476.6,500.2,490.2,495.2,482.8,475.8,490.0,483.6,507.2,501.2,498.8,497.2,504.4,489.0,504.4,501.6,485.6,476.6,497.6,489.8,474.4,472.6,481.0,478.0,473.8,474.8,476.4,480.4,462.8,461.4,477.0,476.8,479.8,472.2,476.0,471.2,471.2,480.6,488.6,490.4,490.8,500.4,474.8,476.2,476.2,482.4,469.0,468.6,471.8,481.6,487.6,492.4,482.0,493.0,481.8,471.0,463.8,563.4,518.8,504.6,492.8,541.0,484.8,481.8,488.4,477.4,476.8,504.6,494.0,490.0,484.6,477.6,486.4,484.8,508.4,533.4,642.4,486.8,484.0,482.8,488.6,481.4,476.0,521.8,513.2,494.8,479.8,489.4,483.4,485.4,490.0,489.8,492.4,497.4,521.6,485.6,487.0,486.6,534.8,503.6,494.2,489.2,531.0,516.6,518.2,514.8,477.8,484.0,498.0,495.0,505.6,499.4,491.0,528.429,513.286,514.571,489.571,520.429,571.0,561.857,553.0,696.4,666.6,616.6,625.2,680.0,546.2,550.2,510.4,643.8,587.8,650.5,687.0,662.8,563.8,634.0,634.5,532.8,532.2,524.2,528.4,609.333,564.0,589.0,512.8,485.8,487.8,484.0,501.6,497.8,481.0,481.6,496.8,485.8,489.6,528.2,555.4,562.0,596.6,542.8,485.2,481.8,474.6,490.6,488.8,491.8,497.6,509.6,550.2,517.8,503.8,500.4,480.4,480.0,483.6,490.6
542.411,459.4,453.8,457.6,481.0,474.2,466.0,478.4,474.4,470.0,469.0,469.4,470.2,468.6,459.0,461.4,478.4,476.6,458.4,460.2,486.4,491.2,494.2,476.6,473.2,465.0,461.0,472.0,466.8,462.2,458.6,481.6,480.6,479.6,472.8,478.4,481.0,504.0,503.0,487.6,478.4,480.8,491.2,487.0,491.4,513.0,514.4,478.4,471.4,493.8,489.2,505.8,504.0,512.0,505.2,483.6,486.4,484.6,479.6,493.6,487.0,573.4,500.0,504.6,502.4,501.4,511.8,499.8,493.8,758.6,621.6,807.8,683.8,1152.4,822.4,715.4,961.8,786.8,794.8,716.4,940.8,1213.5,661.2,607.8,578.0,584.2,616.8,592.6,574.2,561.2,548.0,539.8,706.8,643.0,634.8,709.4,645.8,645.6,640.6,529.2,519.6,537.0,561.8,533.8,512.6,531.6,516.6,499.4,489.4,480.8,492.6,494.2,481.6,486.2,511.4,494.2,488.4,492.4,476.0,506.2,491.4,492.8,483.6,475.8,488.0,488.8,505.2,503.8,500.0,498.2,503.2,494.8,507.8,497.0,485.2,476.4,497.4,488.2,478.0,470.2,481.0,474.0,474.0,473.6,473.8,479.6,464.2,461.6,476.4,478.2,479.4,476.6,476.6,473.2,472.0,477.6,491.8,490.2,489.2,502.8,473.2,477.2,476.6,482.8,468.6,467.8,472.0,481.0,487.2,492.0,481.0,495.8,486.6,473.0,463.4,562.2,514.4,500.6,492.2,536.2,484.4,487.6,485.4,477.8,478.6,506.4,494.8,491.6,484.4,471.2,485.2,483.2,504.4,538.2,650.8,484.8,481.2,479.0,482.4,481.4,479.0,524.4,509.4,487.4,478.0,490.6,476.6,487.2,492.0,491.6,489.4,499.2,521.0,490.4,486.8,490.0,531.6,503.6,490.2,486.4,529.6,511.0,520.4,514.6,480.4,479.2,490.4,490.4,507.4,499.2,492.4,528.571,516.857,512.714,491.857,519.0,572.429,561.286,546.429,704.8,662.6,610.8,621.6,679.0,552.4,556.0,508.8,642.0,582.8,645.5,673.4,660.0,564.2,632.4,635.0,531.6,530.0,525.0,531.8,593.333,560.6,593.2,513.4,483.8,488.4,482.4,502.0,500.2,483.6,482.8,491.4,484.8,492.6,528.0,546.4,560.4,599.4,542.2,484.6,481.8,476.6,486.4,490.0,490.6,501.8,513.6,546.6,514.6,503.2,497.2,483.4,478.6,486.2,487.0
542.493,456.4,456.0,452.6,477.2,475.6,465.6,478.0,471.8,468.8,467.4,471.6,468.6,468.0,460.2,463.6,476.4,477.6,458.4,457.0,492.8,489.2,495.4,476.4,472.6,462.4,458.8,468.6,469.6,461.6,459.8,480.2,481.0,481.8,476.4,475.6,482.6,501.2,499.6,489.8,474.6,476.4,487.4,489.6,493.8,516.2,516.2,478.8,471.0,491.0,481.8,504.6,505.4,512.0,504.6,483.8,485.0,485.0,477.0,495.8,489.0,577.0,497.2,497.6,501.4,501.4,507.0,500.4,490.4,747.4,624.8,791.8,675.2,1140.6,828.4,699.4,953.8,785.0,786.0,713.0,927.6,1222.25,665.6,609.4,578.8,578.8,619.2,592.4,574.2,558.6,551.6,545.0,704.6,639.4,630.2,703.4,643.6,638.8,640.4,528.8,517.4,537.4,564.4,533.0,511.2,536.2,520.0,501.4,488.8,474.4,490.2,490.8,479.6,484.6,513.0,497.6,486.2,489.2,477.0,499.4,487.4,492.0,484.8,474.4,489.4,484.6,505.0,498.0,502.0,496.6,505.0,491.2,508.2,498.6,488.8,476.0,493.2,491.0,479.8,473.2,478.4,473.8,472.0,471.4,477.6,479.6,462.8,462.0,476.2,479.0,476.6,473.6,479.2,473.2,471.4,482.6,486.2,487.6,491.2,497.2,470.6,473.4,477.0,484.0,466.0,465.2,474.4,476.4,484.0,487.8,482.2,499.8,485.2,472.2,463.2,557.0,518.6,503.6,491.2,536.0,481.8,484.8,487.8,474.4,475.4,505.8,494.4,496.8,485.0,474.6,484.0,484.4,505.0,534.8,654.6,479.6,478.0,482.6,486.4,482.8,480.8,518.4,506.8,491.8,475.8,487.6,483.0,488.6,487.8,493.8,488.6,499.2,522.4,491.4,488.6,487.2,529.6,501.4,491.2,485.4,527.0,516.2,516.0,514.8,477.6,476.8,497.0,492.2,503.8,493.2,492.4,529.857,514.714,511.429,490.0,518.857,569.143,563.286,553.0,704.0,658.4,618.8,620.0,675.8,552.4,548.4,510.4,632.2,577.6,644.25,678.4,659.8,561.6,636.8,632.75,529.8,533.0,526.8,530.8,603.667,559.0,589.0,512.0,483.2,485.8,483.2,501.2,496.2,483.6,485.2,491.2,481.8,490.6,522.8,552.2,561.8,595.0,542.6,489.2,482.8,482.4,488.2,488.4,490.2,502.8,507.4,547.4,517.8,501.6,493.2,480.0,472.8,486.0,489.2
542.576,455.0,455.0,451.6,473.0,466.8,462.6,476.8,474.0,468.8,469.2,467.2,468.2,471.6,462.2,459.4,475.4,477.6,460.0,457.6,489.4,491.4,494.2,476.0,474.4,461.6,460.2,468.8,464.6,461.4,454.2,482.2,480.2,485.0,472.0,478.2,480.4,501.0,497.6,488.4,477.8,479.2,489.8,482.0,489.8,509.2,516.2,474.4,467.4,492.4,485.0,501.4,505.8,510.2,505.2,486.2,488.4,484.0,478.4,498.0,484.6,569.4,497.0,500.6,497.6,494.6,509.4,499.4,489.8,746.4,626.2,795.8,676.4,1130.6,815.2,703.8,943.6,786.2,782.6,708.4,938.2,1216.75,655.2,607.4,574.6,579.0,613.4,591.4,565.6,558.8,546.8,538.4,698.0,644.2,627.8,691.6,638.6,639.0,639.8,530.0,513.4,536.6,566.0,523.6,507.2,529.6,520.2,503.8,484.8,479.6,492.4,495.0,481.4,481.6,515.6,496.8,491.2,489.6,473.6,499.0,488.6,489.2,482.6,474.0,487.4,482.8,502.6,499.8,503.2,493.8,498.8,490.6,504.8,497.2,485.8,477.6,494.8,490.6,480.8,468.4,481.8,469.8,473.0,478.0,474.0,481.4,464.0,461.0,474.8,475.0,476.6,474.6,478.0,473.8,467.0,479.0,486.6,487.4,491.6,499.4,468.6,475.2,476.8,487.2,466.4,463.4,470.6,476.0,487.8,489.4,482.0,497.4,488.0,468.8,464.2,559.8,519.2,500.4,494.0,536.6,482.8,484.0,487.4,482.6,475.2,502.6,494.2,491.2,481.8,469.8,484.4,484.4,505.8,533.4,650.4,482.6,480.4,484.4,482.6,478.8,475.6,520.2,510.8,489.4,468.0,493.8,480.6,487.6,486.4,487.8,491.2,497.6,520.4,487.8,486.0,487.0,533.4,501.8,487.4,487.2,528.0,514.2,513.4,514.2,477.2,478.0,497.2,488.0,502.2,497.2,491.8,529.143,508.714,510.429,491.143,519.0,565.0,564.286,551.286,704.4,658.8,609.4,615.8,676.8,546.8,548.4,509.0,631.2,582.6,652.75,674.2,662.2,562.2,633.8,625.0,530.6,531.4,515.2,530.0,598.0,556.0,587.2,513.6,487.4,488.4,484.8,501.8,492.2,478.2,478.6,492.2,479.8,489.0,526.2,547.0,553.4,595.2,541.6,484.8,480.6,479.4,487.6,489.2,492.4,502.0,508.6,547.8,510.6,499.2,497.2,477.6,472.8,481.4,489.0
542.659,456.4,453.4,457.0,473.6,471.4,463.4,473.8,472.6,468.8,467.4,469.4,470.6,467.6,462.6,464.6,474.8,477.4,457.6,458.4,489.6,492.2,495.0,476.6,474.6,461.8,462.2,468.2,467.4,459.8,458.0,484.0,479.0,480.2,473.4,477.0,480.0,502.4,501.4,485.8,477.4,477.8,491.2,488.8,488.6,513.8,512.6,476.8,473.0,493.8,486.4,503.4,501.2,515.0,502.4,482.8,486.8,481.6,478.6,492.8,487.8,567.8,496.2,498.6,502.2,494.0,510.4,495.4,488.2,757.4,620.0,807.4,678.6,1155.6,810.0,699.4,950.0,783.0,786.8,720.0,934.6,1233.0,653.8,611.0,573.2,571.2,612.4,580.2,570.2,555.8,549.6,536.2,703.6,645.4,621.4,707.6,641.0,630.6,640.6,525.2,514.6,537.0,561.6,526.4,512.6,534.8,517.6,506.4,486.6,475.6,492.6,493.8,477.6,484.8,511.8,496.4,494.6,493.2,478.4,498.6,491.8,490.2,482.2,472.0,485.6,482.6,502.6,505.6,498.8,497.4,506.6,490.4,503.8,494.4,488.4,477.2,496.4,494.8,477.8,471.4,483.2,473.2,474.2,474.6,477.8,480.2,462.4,461.8,474.2,479.2,479.0,472.8,478.0,475.4,472.0,477.8,484.8,487.6,488.4,499.4,472.6,472.4,478.2,481.4,468.4,464.4,471.4,477.8,484.4,492.4,481.4,498.2,486.6,470.4,463.4,555.4,514.6,501.0,489.8,537.4,479.2,486.4,487.2,475.6,476.4,501.4,494.6,497.0,480.0,471.0,484.8,478.8,504.2,537.0,651.0,482.8,481.8,483.8,485.6,481.8,475.0,523.2,504.6,487.6,472.4,489.4,479.8,491.2,486.0,488.6,490.2,497.8,516.2,486.6,483.8,490.8,533.8,504.4,489.2,482.0,524.4,513.8,517.6,512.0,480.6,477.6,494.4,487.2,503.2,494.2,487.2,526.857,512.143,511.286,486.714,512.857,568.571,558.143,552.143,701.0,664.4,612.8,618.4,671.6,548.4,547.6,506.2,635.0,582.6,644.0,680.8,664.0,564.6,634.6,634.75,531.6,533.4,525.2,525.6,593.333,550.6,587.8,510.4,485.4,487.4,482.6,503.6,491.8,477.4,483.6,491.8,481.2,489.6,521.4,548.2,550.0,597.6,543.0,484.0,477.4,474.6,486.6,487.8,489.4,502.2,507.4,545.8,513.0,498.2,495.0,481.2,474.2,483.0,488.4
542.742,458.2,453.2,454.0,482.0,470.0,465.2,473.0,474.0,464.8,470.0,468.8,469.6,469.0,461.2,463.0,475.6,476.8,457.8,458.6,488.8,488.2,492.8,472.8,470.8,462.6,457.2,468.8,465.2,461.0,457.2,481.8,477.0,479.6,474.4,472.6,479.8,498.6,498.6,489.0,474.2,478.2,486.0,484.0,490.0,509.4,515.2,475.6,469.6,495.4,486.2,503.0,503.0,508.0,502.4,484.2,482.4,484.6,473.2,490.8,483.0,571.8,500.4,496.4,499.6,498.8,511.6,497.0,494.6,754.8,613.8,808.0,682.6,1156.2,828.6,702.8,957.8,779.2,788.4,721.0,921.4,1229.0,655.2,608.8,578.6,572.6,609.0,586.8,566.6,551.2,549.2,541.6,696.8,642.0,621.8,696.6,638.2,639.0,640.0,523.0,513.2,535.0,565.2,528.6,509.4,533.6,522.8,501.8,488.0,477.4,493.0,492.0,479.0,487.4,517.4,501.0,487.4,487.8,475.6,499.6,494.6,490.2,482.8,472.6,487.8,482.2,500.2,500.6,500.4,494.0,501.6,492.8,508.4,495.2,484.6,480.2,497.2,488.0,480.0,470.4,480.4,475.2,477.2,468.8,474.2,480.2,460.4,461.6,474.6,476.6,478.2,475.0,479.0,474.0,471.0,479.0,487.2,485.2,487.6,501.8,471.6,474.8,478.2,484.4,470.4,464.6,469.4,477.8,485.2,493.6,482.6,496.2,483.4,471.0,461.2,550.6,513.2,498.2,485.2,535.4,476.8,489.0,493.4,476.4,474.6,505.0,491.0,494.6,487.4,469.2,482.0,478.0,500.0,538.2,654.4,483.2,481.0,483.0,487.0,479.4,478.6,524.0,507.2,489.2,475.6,489.6,479.2,485.8,491.4,486.2,490.2,499.0,526.8,485.0,484.2,486.0,528.0,500.0,491.6,484.6,523.2,511.4,510.8,517.8,473.6,479.6,495.8,486.8,501.0,495.4,492.2,525.857,509.286,508.286,487.0,515.429,562.0,556.571,554.286,696.2,652.2,613.2,620.4,677.0,549.8,550.0,511.4,641.8,585.2,652.75,674.6,660.6,558.2,638.0,633.25,527.6,524.8,521.4,533.2,591.333,563.6,584.8,509.6,482.8,484.8,480.2,500.8,495.6,482.6,482.4,492.8,481.8,491.6,518.2,545.6,549.2,594.0,545.8,486.8,479.0,476.2,485.0,488.8,491.0,500.8,505.2,543.4,516.0,501.4,496.2,478.6,476.4,483.8,488.2
542.825,455.8,450.8,456.4,472.4,468.4,464.6,478.2,475.6,467.0,465.2,468.2,466.2,468.6,465.6,462.2,472.0,477.8,456.0,456.0,490.2,490.0,496.0,475.4,478.0,462.4,462.6,468.2,464.8,459.6,458.4,481.0,478.8,480.8,471.8,476.6,476.8,499.2,500.2,485.4,476.6,476.2,489.2,482.2,486.8,509.2,513.4,477.4,470.0,490.6,487.8,499.8,503.0,513.8,501.0,483.6,486.2,486.8,475.8,494.0,483.0,574.0,499.8,496.0,498.2,494.8,509.6,494.8,490.2,751.8,619.4,797.6,671.8,1146.8,812.2,699.8,943.8,778.0,788.8,716.6,937.2,1227.75,655.0,610.2,576.0,573.2,601.2,577.6,567.8,554.0,543.4,537.0,705.2,636.6,626.6,694.0,638.0,629.2,634.2,524.0,516.4,535.6,561.6,536.0,511.0,533.8,519.2,501.6,483.6,477.4,490.0,492.2,481.0,485.6,512.2,497.2,491.6,492.4,476.0,497.2,488.8,489.2,480.6,471.0,486.6,482.2,506.6,499.0,499.4,496.0,505.6,493.0,501.8,498.6,483.6,476.0,496.2,494.2,479.6,470.0,480.2,474.6,473.6,472.6,474.8,475.4,463.0,461.8,477.0,477.6,478.8,473.6,475.8,470.0,471.0,479.4,490.0,484.8,487.6,501.0,470.8,478.4,479.4,482.4,467.8,466.2,469.4,479.0,486.8,488.2,479.0,491.2,486.6,470.6,460.4,559.4,510.2,497.6,486.4,532.6,476.4,486.0,487.0,477.2,476.0,504.6,493.6,494.6,483.2,470.2,480.6,479.0,499.0,536.0,653.4,488.4,477.2,482.0,484.2,476.6,476.6,523.4,506.6,490.8,477.4,492.8,478.0,488.0,489.0,491.2,487.8,497.2,522.0,489.4,485.4,486.0,528.8,500.0,491.2,481.8,525.4,505.8,513.6,512.2,477.8,478.8,492.8,489.2,503.6,492.2,491.8,524.143,511.286,507.571,489.286,515.286,565.857,563.143,554.143,695.8,669.2,614.2,617.4,670.6,544.2,542.8,510.2,632.2,584.0,644.0,675.4,659.8,559.6,636.8,631.5,529.2,531.8,523.4,532.0,598.333,554.0,581.6,511.8,485.4,486.6,480.6,498.6,492.8,478.4,483.0,489.8,484.0,488.4,518.0,550.8,554.6,593.4,545.6,485.6,481.0,478.2,483.4,488.0,493.6,498.8,508.0,554.2,508.6,499.4,495.4,477.8,476.0,482.0,486.8
542.908,456.6,452.2,454.2,475.2,472.4,465.0,473.6,476.2,469.0,467.2,467.0,470.8,465.8,462.4,457.4,476.2,474.6,460.0,458.6,487.6,493.4,493.0,473.2,468.8,462.8,459.2,469.6,466.6,456.6,456.2,483.4,478.4,481.6,474.2,476.6,477.4,501.0,499.2,486.2,473.0,476.2,485.0,484.2,491.4,509.8,513.2,478.0,469.6,493.2,484.8,499.0,500.0,513.0,506.4,487.2,483.4,485.8,476.2,495.8,484.6,576.4,498.4,496.0,500.0,499.0,507.2,500.8,487.6,754.8,628.4,800.8,681.8,1152.6,812.6,702.0,956.8,777.0,787.8,710.4,936.6,1232.25,648.8,606.4,574.0,575.0,609.4,588.0,567.6,550.0,541.2,536.4,697.0,645.2,619.4,702.0,645.6,630.4,636.2,522.0,512.6,534.2,560.4,533.6,505.8,531.6,520.2,499.8,485.8,473.4,489.4,488.6,475.8,486.2,511.2,496.6,494.4,489.8,480.4,498.0,488.4,489.8,480.0,470.4,485.2,484.4,503.6,502.6,498.4,494.0,502.8,493.8,507.2,496.2,482.6,474.0,497.8,488.0,477.0,472.8,480.4,471.6,474.2,472.6,474.4,484.0,461.8,463.6,474.0,482.6,478.8,476.2,475.2,470.4,470.6,479.0,490.8,485.2,493.8,502.4,471.4,477.2,476.6,482.2,466.8,464.2,470.2,475.2,483.8,487.6,482.4,491.2,486.0,471.6,460.2,554.2,516.4,496.4,487.0,534.6,473.6,483.2,490.6,476.0,475.4,501.6,494.6,494.4,483.8,471.4,480.2,478.8,501.8,542.2,654.4,479.4,477.6,479.8,484.4,478.2,478.4,518.0,506.4,489.6,472.8,489.8,480.2,484.8,487.6,489.8,488.0,498.0,520.0,489.6,484.6,486.0,523.2,502.2,488.6,484.4,521.4,513.0,514.4,512.4,476.8,479.0,494.8,492.2,501.6,492.2,489.8,526.571,507.857,505.571,485.0,512.429,567.429,562.286,554.286,698.6,661.2,616.0,619.4,671.6,544.2,549.8,512.0,634.8,584.6,650.5,680.4,652.8,558.6,638.4,629.75,528.8,527.4,520.8,530.8,592.333,553.8,584.4,510.6,480.2,486.6,480.8,498.2,495.2,475.8,478.6,491.6,483.2,489.0,520.0,546.4,546.8,599.2,540.2,484.8,481.6,473.2,483.8,487.4,489.0,497.8,510.8,543.0,513.6,497.8,496.6,479.6,471.6,484.6,483.6
542.99,456.4,452.0,450.4,472.8,470.4,465.0,472.2,470.8,468.0,470.6,469.6,468.2,465.0,460.2,463.6,473.8,476.2,460.4,458.8,486.4,488.4,492.0,470.0,473.4,459.2,460.0,468.6,466.0,458.6,455.4,478.8,474.8,482.6,473.6,476.6,476.6,501.0,499.8,483.2,473.8,478.2,483.4,484.6,488.4,510.6,516.4,477.8,467.2,492.6,485.6,503.8,503.6,513.0,501.6,481.2,482.2,482.8,480.2,497.6,482.0,576.6,500.0,496.4,499.8,497.2,506.0,497.8,489.0,756.6,612.8,789.2,673.0,1135.8,800.0,704.0,946.0,773.0,777.4,724.2,922.6,1204.5,656.6,600.4,573.6,567.8,595.8,580.0,557.4,549.4,539.4,531.6,700.0,638.4,623.6,690.6,634.8,634.6,632.8,522.4,514.8,531.0,563.6,531.8,509.4,531.0,515.4,499.2,484.6,474.0,490.8,491.2,477.2,486.8,508.8,492.8,491.2,490.6,477.6,495.4,490.2,491.6,476.4,473.2,485.6,478.8,500.6,499.2,499.0,494.6,498.8,491.0,503.2,495.0,485.8,477.8,494.0,494.6,480.2,472.2,482.8,474.8,476.2,471.8,477.4,477.8,462.0,458.8,474.8,475.6,476.4,474.6,477.0,472.8,470.6,481.6,482.8,487.4,490.6,499.0,471.6,477.8,476.8,484.4,464.8,464.4,469.4,477.6,487.4,486.0,481.6,493.6,484.6,471.2,461.0,554.6,511.2,495.4,483.6,536.0,477.6,488.2,490.4,478.2,477.4,504.4,495.2,494.8,484.0,472.2,481.2,482.4,503.8,538.6,652.0,478.4,479.0,483.4,483.8,478.6,475.8,521.8,505.4,485.2,473.4,486.4,478.0,487.0,488.2,491.6,490.8,501.0,522.8,491.0,482.0,486.2,535.0,500.8,489.8,481.6,525.4,516.4,511.6,509.2,479.4,477.0,495.2,484.8,502.0,493.4,490.0,520.857,511.0,505.143,489.571,512.857,564.429,562.571,551.286,692.0,658.8,612.4,617.0,677.2,549.2,546.0,512.0,634.6,578.0,641.5,676.0,660.0,555.8,634.6,621.75,527.2,527.2,523.8,527.0,586.333,552.6,578.8,511.0,485.6,485.8,477.6,503.2,491.8,481.2,481.6,486.4,482.4,489.0,518.4,546.8,546.6,587.2,545.8,487.0,475.6,476.0,485.4,484.8,487.0,497.2,504.8,543.0,509.8,499.4,497.0,477.4,474.0,481.6,484.0
